Number,Name
version,Version of ANES 2016 Time Series release
v160001,2016 Case ID
v160101,Pre-election weight -full sample
v160101f,Pre-election weight -FTF sample
v160101w,Pre-election weight -Web sample
v160102,Post-election weight -full sample
v160102f,Post-election weight -FTF sample
v160102w,Post-election weight -Web sample
v160201,Stratum -full sample
v160201f,Stratum -FTF sample
v160201w,Stratum -Web sample
v160202,Variance PSU -Full sample
v160202f,Variance PSU -FTF sample
v160202w,Variance PSU -Web sample
v163001a,SAMPLE: Sample location FIPS state
v163001b,SAMPLE: Sample location state postal abbreviation
v163002,SAMPLE: Sample location Congressional district (115th Congress)
v160501,Mode of interview
v160502,Completed Pre only or completed Pre and Post interviews
v161001,PRE: FTF ONLY: Audio Consent
v161002,PRE: FTF ONLY: INTERVIEWER : Is R male or female (Observation)
v161517,PRE WEB ONLY: ease of online access
v161518,PRE FTF CASI ONLY: R rating of interviewer
v161519,PRE FTF CASI ONLY: R rating of interviewer degree
v161520,PRE FTF CASI ONLY: R rating of interview
v161521,PRE FTF CASI ONLY: R rating of interview degree
v161523,PRE WEB ONLY: RESTRICTED R comments
v162001,POST: FTF ONLY: Audio recording consent
v164001a,PRE ADMIN: Pre Web device logins: smartTV
v164001b,PRE ADMIN: Pre Web device logins: phone
v164001c,PRE ADMIN: Pre Web device logins: tablet
v164001d,PRE ADMIN: Pre Web device logins: desktop/laptop
v165001a,POST ADMIN: Post Web device logins: smartTV
v165001b,POST ADMIN: Post Web device logins: phone
v165001c,POST ADMIN: Post Web device logins: tablet
v165001d,POST ADMIN: Post Web device logins: desktop/laptop
v162370,POST: FTF CASI/WEB: Facebook account used recently
v162371a,POST: FTF CASI/WEB: WEB ONLY: Facebook login
v162371b,POST: FTF CASI/WEB: WEB ONLY: Facebook login reconsider
v166001,RANDOM: Assignment to forward or reverse response options for selected questions
v166002,RANDOM: Assignment to ballot color/ order of major party names in vote sections
v164002,PRE ADMIN: Beginning date of Pre IW (YYYYMMDD)
v164002a,PRE ADMIN: Date IWR first opened IW in CAPI (YYYYMMDD)
v164003,PRE ADMIN: Beginning time of Pre IW (HHMMSS)
v164003a,PRE ADMIN: Time IWR first opened IW in CAPI (HHMMSS)
v164004,PRE ADMIN: Ending date of Pre IW (YYYYMMDD)
v164005,PRE ADMIN: Ending time of Pre IW (HHMMSS)
v164006,PRE ADMIN: Elapsed time interview start to end (minutes)
v165002,POST ADMIN: Beginning date of Post IW (YYYYMMDD)
v165002a,POST ADMIN: Date IWR first opened IW in CAPI (YYYYMMDD)
v165003,POST ADMIN: Beginning time of Post IW (HHMMSS)
v165003a,POST ADMIN: Time IWR first opened IW in CAPI (HHMMSS)
v165004,POST ADMIN: Ending date of Post IW (YYYYMMDD)
v165005,POST ADMIN: Ending time of Post IW (HHMMSS)
v165006,POST ADMIN: Elapsed time interview start to end (minutes)
v161003,PRE: How often does R pay attn to politics and elections
v161004,PRE: How interested in following campaigns
v161005,PRE: Did R vote for President in 2012
v161006,PRE: Recall of last (2012) Presidential vote choice
v161007,PRE: FTF ONLY: HH Internet use
v161008,PRE: Days in week watch/listen/read news on any media
v161009,PRE: Attention to news on any media
v161010a,PRE: Vote section- order of major party candidate names / FTF BallotColor
v161010b,PRE: Vote section- household address preloaded (sample address)
v161010c,PRE: Vote section- candidate names preloaded for sample address
v161010d,PRE: Vote section- FIPS state code for sample address
v161010e,PRE: Vote section- 2-char state Postal abbreviation for sample address
v161010f,PRE: Vote section- U.S. House District number (115th Congress) for sample address
v161011,PRE: Is R registered to vote (pre-election)
v161011a,PRE WEB: Is R registered (registration address not answered)
v161012,PRE: Address of registration given (not registered at sample address)
v161013a,PRE: State included in address of registration (not registered at samp addr)
v161013b,PRE: City included in address of registration (not registered at samp addr)
v161014,PRE: State of registration - reg state not given (not registered at samp addr)
v161015a,PRE: Registration state same as sample address state (all registrations)
v161015b,PRE: Registration state (all registrations)
v161015c,PRE: Senate race in state of registration (all registrations)
v161015d,PRE: Governor race in state of registration (all registrations)
v161015e,PRE: Party registration in state of registration (all registrations)
v161016,PRE: Is R registered to vote in preload county (resid)
v161017,PRE: How many years has R been registered at registration location
v161018,PRE: Was name recorded for registration name
v161019,PRE: Party of registration
v161020,PRE: Does R intend to register to vote
v161021,PRE: Did R vote in a Presidential primary or caucus
v161021a,PRE: For which candidate did R vote in Presidential prim
v161022,PRE: Already voted in General Election
v161022a,PRE: Confirmation voted (early) in November 8 election
v161023,PRE: In what manner did R vote
v161024x,PRE: SUMMARY - Registration and early vote status
v161025,PRE: FTF ONLY: IWR CHECKPOINT: have correct Pre ballot card
v161025a,PRE: FTF ONLY: IWR error at Ballot Card checkpoint
v161025x,PRE: SUMMARY - administration of Pre vote module
v161026,PRE: Did R vote for President in 2016
v161027,PRE: For whom did R vote for President
v161028,PRE: Preference strong for Pres cand for whom R voted
v161029a,PRE: Placehold Text- How long before election R made decision Pres vote
v161029b,PRE: Placeholder Code- How long before election R made decision Pres vote
v161030,PRE: Does R intend to vote for President
v161031,PRE: For whom does R intend to vote for President
v161032,PRE: Pref strng for Pres cand for whom R intends to vote
v161033,PRE: Does R prefer Pres cand (no intent to register)
v161034,PRE: Preference for Pres cand (no intent to register)
v161035,PRE: Preference strong for Pres cand (no intent to reg)
v161036,PRE: Did R vote for U.S. House of Representatives
v161037,PRE: For whom did R vote for U.S. House (ballot card)
v161038,PRE: For whom did R vote for U.S. House (no ballot card)
v161039,PRE: Does R intend to vote for U.S. House
v161040,PRE: For whom does R intend to vote for U.S. House (ballot card)
v161041,PRE: For whom does R intend to vote for U.S. House (no ballot cd)
v161042,PRE: Does R prefer U.S. House candidate
v161043,PRE: Whom does R prefer for U.S. House (ballot card)
v161044,PRE: Whom does R prefer for U.S. House (no ballot card)
v161045x,PRE SUMMARY: Senate and Governor races
v161046,PRE: Did R vote for U.S. Senate
v161047,PRE: R's vote for U.S. Senate (ballot card)
v161048,PRE: R's vote for U.S. Senate (no ballot card)
v161049,PRE: Does R intend to vote for U.S. Senate
v161050,PRE: For whom does R intend to vote for U.S. Senate (ballot card
v161051,PRE: For whom does R intend to vote for US. Senate (no ballot cd)
v161052,PRE: Does R prefer U.S. Senate candidate
v161053,PRE: Whom does R prefer for U.S. Senate (ballot card)
v161054,PRE: Whom does R prefer for U.S. Senate (no ballot card)
v161055,PRE: Did R vote for governor
v161056,PRE: R's vote for governor(ballot card)
v161057,PRE: R's vote for governor (no ballot card)
v161058,PRE: Does R intend to vote for governor
v161059,PRE: For whom does R intend to vote for governor (ballot card)
v161060,PRE: For whom does R intend to vote for governor (no ballot cd)
v161061,PRE: Does R prefer gubernatorial candidate
v161062,PRE: Whom does R prefer for governor (ballot card)
v161063,PRE: Whom does R prefer for governor (no ballot card)
v161064x,PRE: SUMMARY - party of Pre-election Presidential vote/intent/preference
v161065x,PRE: SUMMARY - party of Pre-election U.S. House vote/intent/preference
v161066x,PRE: SUMMARY - party of Pre-election U.S. Senate vote/intent/preference
v161067x,PRE: SUMMARY - party of Pre-election Gubernatorial vote/intent/preference
v161068,PRE: Is there anything R likes about Democratic Pres cand
v161069,PRE: Text- What is it that R likes about Democratic Pres cand
v161070a,PRE: Code- What is it that R likes about Democratic Pres cand
v161071,PRE: Is there anything R dislikes about Democratic Pres cand
v161072,PRE: Text- What is it that R dislikes about Democratic Pres cand
v161073a,PRE: Code- What is it that R dislikes about Democratic Pres cand
v161074,PRE: Is there anything R likes about Republican Pres cand
v161075,PRE: Text- What is it that R likes about Republican Pres cand
v161076a,PRE: Code- What is it that R likes about Republican Pres cand
v161077,PRE: Is there anything R dislikes about Republican Pres cand
v161078,PRE: Text- What is it that R dislikes about Republican Pres cand
v161079a,PRE: Code- What is it that R dislikes about Republican Pres cand
v161080,PRE: Approval of Congress handling its job
v161080a,PRE: Strength appr disapprove Congress handling its job
v161080x,PRE: SUMMARY - Approval/disapproval Congress handling job
v161081,PRE: Are things in the country on right track
v161082,PRE: Approve or disapprove President handling job as Pres
v161082a,PRE: How much approve or disapp Pres handling job
v161082x,PRE: SUMMARY - Approval/disapproval President handling job
v161083,PRE: Approve or disapprove President handling economy
v161083a,PRE: How much approve or disapprove Pres handling economy
v161083x,PRE: SUMMARY - Approval/disapproval President handling economy
v161084,PRE: Approve or disapprove President handling foreign rel
v161084a,PRE: How much approve or disapprove Pres handling foreign rel
v161084x,PRE: SUMMARY - Approval/disapproval President handling foreign rel
v161085,PRE: Approve or disapprove President handling health care
v161085a,PRE: How much approve or disapprove Pres handling health care
v161085x,PRE: SUMMARY - Approval/disapproval President handling health care
v161086,PRE: Feeling Thermometer: Democratic Presidential cand
v161087,PRE: Feeling Thermometer: Republican Presidential cand
