Number,Name
PREVOTE_PRESSTR,PRE: Preference strong for Pres cand for whom R voted
PREVOTE_VTPRESDEC_TXT,PRE: How long before election R made decision Pres vote
PREVOTE_VTPRESDEC_DKRF,PRE: FTF ONLY: Hw lng bef elct R made decsn Pres vt: DK/RF selected
PREVOTE_INTPRES,PRE: Does R intend to vote for President
PREVOTE_INTPRESWHO,PRE: For whom does R intend to vote for President
PREVOTE_INTPRESWHO_OTHTXT,PRE: Other specify- For whom does R intend to vote for President
PREVOTE_INTPRESST,PRE: Pref strng for Pres cand for whom R intends to vote
PREVOTE_PREFPRES,PRE: Does R prefer Pres cand (no intent to register)
PREVOTE_PREFPRWHO,PRE: Preference for Pres cand (no intent to register)
PREVOTE_PREFPRWHO_OTHTXT,PRE: Other specify- Preference for Pres cand (no intent to register)
PREVOTE_PREFPRSTR,PRE: Preference strong for Pres cand (no intent to reg)
PREVOTE_VOTEHS,PRE: Did R vote for U.S. House of Representatives
PREVOTE_HSVTBC,PRE: For whom did R vote for U.S. House (Ballot Card)
PREVOTE_HSVTNOBC,PRE: For whom did R vote for U.S. House (no Ballot Card)
PREVOTE_INTHS,PRE: Does R intend to vote for U.S. House
PREVOTE_INTHSBC,PRE: For whom does R intend to vote for U.S. House (Ballot Card)
PREVOTE_INTHSNOBC,PRE: For whom does R intend to vote for U.S. House (no Ballot Card)
PREVOTE_HSPREF,PRE: Does R prefer U.S. House candidate
PREVOTE_HSPREFBC,PRE: Whom does R prefer for U.S. House (Ballot Card)
PREVOTE_HSPREFNOBC,PRE: Whom does R prefer for U.S. House (no Ballot Card)
PREVOTE_SENHHSTATE,PRE: FTF ONLY: Senate election in state of residence
PREVOTE_SENREGSTATE,PRE: FTF ONLY: Sen election in state of regist (R not regist at resid)
PREVOTE_VOTESEN,PRE: Did R vote for U.S. Senate
PREVOTE_VTSENBC,PRE: R's vote for U.S. Senate (Ballot Card)
PREVOTE_VTSENNOBC,PRE: R's vote for U.S. Senate (no Ballot Card)
PREVOTE_INTSEN,PRE: Does R intend to vote for U.S. Senate
PREVOTE_INTSENBC,PRE: For whom does R intend to vote for U.S. Senate (Ballot Card
PREVOTE_INTSENNOBC,PRE: For whom does R intend to vote for US. Senate (no ballot cd)
PREVOTE_SENPREF,PRE: Does R prefer U.S. Senate candidate
PREVOTE_SENPREFBC,PRE: Whom does R prefer for U.S. Senate (Ballot Card)
PREVOTE_SENPREFNOBC,PRE: Whom does R prefer for U.S. Senate (no Ballot Card)
PREVOTE_GOVHHSTATE,PRE: FTF ONLY: Gubernatorial election in state of residence
PREVOTE_GOVREGSTATE,PRE: FTF ONLY: Gov election in state of regist (R not regist at resid)
PREVOTE_VOTEGOV,PRE: Did R vote for governor
PREVOTE_VTGOVBC,PRE: R's vote for governor(Ballot Card)
PREVOTE_VTGOVNOBC,PRE: R's vote for governor (no Ballot Card)
PREVOTE_INTGOV,PRE: Does R intend to vote for governor
PREVOTE_INTGOVBC,PRE: For whom does R intend to vote for governor (Ballot Card)
PREVOTE_INTGOVNOBC,PRE: For whom does R intend to vote for governor (no ballot cd)
PREVOTE_GOVPREF,PRE: Does R prefer gubernatorial candidate
PREVOTE_GOVPREFBC,PRE: Whom does R prefer for governor (Ballot Card)
PREVOTE_GOVPREFNOBC,PRE: Whom does R prefer for governor (no Ballot Card)
CANDLIK_LIKEDPC,PRE: Is there anything R likes about Democratic Pres cand
CANDLIK_LIKEWHATDPC_TXT,PRE: What is it that R likes about Democratic Pres cand
CANDLIK_DISLDPC,PRE: Is there anything R dislikes about Democratic Pres cand
CANDLIK_DISLWHATDPC_TXT,PRE: What is it that R dislikes about Democratic Pres cand
CANDLIK_LIKERPC,PRE: Is there anything R likes about Republican Pres cand
CANDLIK_LIKEWHATRPC_TXT,PRE: What is it that R likes about Republican Pres cand
CANDLIK_DISLRPC,PRE: Is there anything R dislikes about Republican Pres cand
CANDLIK_DISLWHATRPC_TXT,PRE: What is it that R dislikes about Republican Pres cand
CONGAPP_JOB,PRE: Approval of Congress handling its job
CONGAPP_JOBST,PRE: Strength appr/disapprove Congress handling its job
CONGAPP_JOB_X,PRE: SUMMARY- Approval of Congress
PRESAPP_TRACK,PRE: Are things in the country on right track
PRESAPP_JOB,PRE: Approve or disapprove President handling job as Pres
PRESAPP_JOBSTR,PRE: How much approve or disapp Pres handling job
PRESAPP_JOB_X,PRE: SUMMARY- Approval of President handling of job
PRESAPP_ECON,PRE: Approve or disapprove President handling economy
PRESAPP_ECONSTR,PRE: How much approve or disapprove Pres handling economy
PRESAPP_ECON_X,PRE: SUMMARY- Approval of President handling economy
PRESAPP_FOREIGN,PRE: Approve or disapprove President handling foreign rel
PRESAPP_FOREIGNSTR,PRE: How much approve/disapprove Pres handling foreign rrel
PRESAPP_FOREIGN_X,PRE: SUMMARY- Approval of President handling foreign relations
PRESAPP_HEALTH,PRE: Approve or disapprove President handling health care
PRESAPP_HEALTHSTR,PRE: How much approve/disapprove Pres handling health care
PRESAPP_HEALTH_X,PRE: SUMMARY- Approval of President handling health care
PRESAPP_WAR,PRE: Approve or disapprove President handling war in Afghanst
PRESAPP_WARSTR,PRE: How much approve/disapprove Pres handling war in Afghanst
PRESAPP_WAR_X,PRE: SUMMARY- Approval of President handling war in Afghanistan
FT_DPC,PRE: Feeling Thermometer: Democratic Presidential cand
FT_RPC,PRE: Feeling Thermometer: Republican Presidential cand
FT_DVPC,PRE: Feeling Thermometer: Democratic Vice-Pres cand
FT_RVPC,PRE: Feeling Thermometer: Republican Vice-Pres cand
FT_HCLINTON,PRE: Feeling Thermometer: Hillary Clinton
FT_GWB,PRE: Feeling Thermometer: GW Bush
FT_DEM,PRE: Feeling Thermometer: Democratic Party
FT_REP,PRE: Feeling Thermometer: Republican Party
PTYLIK_LIKDP,PRE: Is there anything R likes about Democratic Party
PTYLIK_LWHATDP_TXT,PRE: What does R like about Democratic party
PTYLIK_DISLDP,PRE: Is there anything R dislikes about Democratic Party
PTYLIK_DWHATDP_TXT,PRE: What does R dislike about the Democratic party
PTYLIK_LIKRP,PRE: Is there anything R likes about Republican Party
PTYLIK_LWHATRP_TXT,PRE: What does R like about Republican party
PTYLIK_DISLRP,PRE: Is there anything R dislikes about Republican Party
PTYLIK_DWHATRP_TXT,PRE: What does R dislike about the Republican party
FINANCE_FINFAM,PRE: R living with how many family members
FINANCE_FINPAST,PRE: R better/worse off than 1 year ago
FINANCE_FINPASTAMT,PRE: R how much better/worse off than 1 year ago
FINANCE_FINPAST_X,PRE: SUMMARY- Better or worse off than 1 year ago
FINANCE_FINNEXT,PRE: Will R be financially better/worse off one year from now
FINANCE_FINNEXTAMT,PRE: R how much better/worse off 1 year from now
FINANCE_FINNEXT_X,PRE: SUMMARY- Better or worse off 1 year from now
HEALTH_INSURED,PRE: Does R have health insurance
HEALTH_2010HCR,PRE: Favor or oppose 2010 health care law
HEALTH_2010HCRFAV,PRE: Strength support 2010 health care law
HEALTH_2010HCROPP,PRE: Strength oppose 2010 health care law
HEALTH_2010HCR_X,PRE: SUMMARY- Support 2010 health care law
HEALTH_SELF,PRE: Health of R
HEALTH_SMOKE,PRE: Smoked Cigarettes
HEALTH_SMOKEAMT,"PRE: If smoked, how many now"
CANDAFF_ANGDPC,PRE: Affect for Democratic Pres cand: angry
CANDAFF_ANGDPCOFT,PRE: How often affect angry about Democratic Pres cand
CANDAFF_HPDPC,PRE: Affect for Democratic Pres cand: hopeful
CANDAFF_HPDPCOFT,PRE: How often affect hopeful about Democratic Pres cand
CANDAFF_AFRDPC,PRE: Affect for Democratic Pres cand: afraid
CANDAFF_AFRDPCOFT,PRE: How often affect afraid about Democratic Pres cand
CANDAFF_PRDDPC,PRE: Affect for Democratic Pres cand: proud
CANDAFF_PRDDPCOFT,PRE: How often affect proud about Democratic Pres cand
CANDAFF_ANGRPC,PRE: Affect for Republican Pres cand: angry
CANDAFF_ANGRPCOFT,PRE: How often affect angry about Republican Pres cand
CANDAFF_HPRPC,PRE: Affect for Republican Pres cand: hopeful
CANDAFF_HPRPCOFT,PRE: How often affect hopeful about Republican Pres cand
CANDAFF_AFRRPC,PRE: Affect for Republican Pres cand: afraid
CANDAFF_AFRRPCOFT,PRE: How often affect afraid about Republican Pres cand
CANDAFF_PRDRPC,PRE: Affect for Republican Pres cand: proud
CANDAFF_PRDRPCOFT,PRE: How often affect proud about Republican Pres cand
LIBCPRE_SELF,PRE: 7pt scale Liberal/conservative self-placement
LIBCPRE_CHOOSE,PRE: If R had to choose liberal or conservative self-placemt
LIBCPRE_DPC,PRE: 7pt scale liberal/conservative - Dem Pres cand
LIBCPRE_RPC,PRE: 7pt scale liberal/conservative - Rep Pres cand
LIBCPRE_PTYD,PRE: 7pt scale liberal/conservative Dem party
LIBCPRE_PTYR,PRE: 7pt scale liberal/conservative Rep party
DIVGOV_SPLITGOV,PRE: Party Control or split government
LIKELYPCT_HOWLIKVT1,PRE: [1/2 SAMPLE 2A] How likely is it that R will vote in Nov
LIKELYPCT_WHATPCT1,PRE: [1/2 SAMPLE 2B] What is percent chance R will vote in Nov
CAMPFIN_LIMCORP,PRE: Should gov be able to limit corporate contributions
CAMPFIN_BANADS,PRE: Ban corporate/union ads for candidates
INEQ_INCGAP,PRE: Income gap today more or less than 20 years ago
INEQ_GAPMORE,PRE: How much larger is income gap today
INEQ_GAPLESS,PRE: How much smaller is income gap today
INEQ_INCGAP_X,PRE: SUMMARY- Income gap size compared to 20 years ago
EFFIC_COMPLICSTD,PRE: [STD] Politics/govt too complicated to understand
EFFIC_UNDSTD,PRE: [STD] Good understanding of political issues
EFFIC_CARESTD,PRE: [STD] Publ officials don't care what people think
EFFIC_SAYSTD,PRE: [STD] Have no say about what govt does
EFFIC_COMPLICREV,PRE: [REV] Politics/govt too complicated to understand
EFFIC_UNDREV,PRE: [REV] Good understanding of political issues
EFFIC_CAREREV,PRE: [REV] Publ officials don't care what people think
EFFIC_SAYREV,PRE: [REV] Have no say about what govt does
ECON_ECNOW,PRE: Current economy good or bad
ECON_ECPAST,PRE: National economy better/worse in last year
ECON_ECPASTAMT,PRE: How much national economy better/worse in last year
ECON_ECPAST_X,PRE: SUMMARY- U.S. economy better or worse than 1 year ago
ECON_ECNEXT,PRE: Economy better or worse in next 12 months
ECON_ECNEXTAMT,PRE: How much econ better/worse next 12 months
ECON_ECNEXT_X,PRE: SUMMARY- U.S. economy better or worse 1 year from now
ECON_UNPAST,PRE: Unemployment better or worse in last year
ECON_UNLAST,PRE: How much unemployment better or worse in last year
ECON_UNPAST_X,PRE: SUMMARY- Unemployment better or worse than 1 year ago
ECON_UNNEXT,PRE: More or less unemployment in next year
ECBLAME_PRES,PRE: How much is President to blame for poor econ conditions
ECBLAME_FMPR,PRE: How much former President to blame for poor econ conds
ECBLAME_DEM,PRE: How much Dems in Congress to blame for poor econ conds
ECBLAME_REP,PRE: How much Reps in Congress to blame for poor econ conds
ECBLAME_BANK,PRE: How much Wall St. bankers to blame for poor econ conds
ECBLAME_CONS,PRE: How much consumers to blame for poor economic conds
ECBLAME_LEND,PRE: How much lenders to blame for poor economic conditions
PTYPERF_PTYECON,PRE: Which party better: handling nation's economy
PRESWIN_CARE,PRE: Care who wins Presidential Election
PRESWIN_WIN,PRE: Who does R think will be elected President
PRESWIN_WIN_OTHTXT,PRE: Other specify- Who does R think will be elected President
PRESWIN_CLOSE,PRE: Will Pres race be a close or will (winner) win by a lot
PRESWIN_STATE,PRE: Which Pres cand will carry state
PRESWIN_STATE_OTHTXT,PRE: Other specify- Which Pres cand will carry state
PRESWIN_CLOSEST,PRE: Will Pres race be close in state
PRESWIN_DUTYCHOICE,PRE: [VERSION 1A] Does R consider voting a duty or choice
PRESWIN_CHOICEDUTY,PRE: [VERSION 1B] Does R consider voting a choice or duty
PRESWIN_DUTYST,PRE: How strongly does R feel that voting is a duty
PRESWIN_CHOICEST,PRE: How strongly does R feel that voting is a choice
PRESWIN_DUTYCHOICE_X,PRE: SUMMARY- Does R consider voting as duty/choice
USWORLD_STRONGER,"PRE: During last year, U.S. position in world weaker/str"
USWORLD_STAY,PRE: Country would be better off if we just stayed home
PID_SELF,"PRE: Party ID: Does R think of self as Dem, Rep, Ind or what"
PID_SELF_OTH,PRE: RESTRICTED: Other specify- Party ID
PID_STRONG,PRE: Party Identification strong - Democrat/Republican
PID_LEAN,PRE: No Party Identification - closer to Dems or Reps
PID_X,PRE: SUMMARY- Party ID
TEA_SUPP,PRE: Tea Party support
TEA_SUPPSTR,PRE: Strength support or oppose tea party
TEA_SUPPLN,PRE: Neither - closer to support or oppose
TEA_SUPP_X,PRE: SUMMARY- Tea Party support
CTRAIT_DPCMORAL,PRE: Pres Dem cand trait moral
CTRAIT_DPCLEAD,PRE: Pres Dem cand trait strong leadership
CTRAIT_DPCCARE,PRE: Pres Dem cand trait really cares
CTRAIT_DPCKNOW,PRE: Pres Dem cand trait knowledgeable
CTRAIT_DPCINT,PRE: Pres Dem cand trait intelligent
CTRAIT_DPCHONST,PRE: Pres Dem cand trait honest
CTRAIT_RPCMORAL,PRE: Pres Rep cand trait moral
CTRAIT_RPCLEAD,PRE: Pres Rep cand trait strong leadership
CTRAIT_RPCCARE,PRE: Pres Rep cand trait really cares
CTRAIT_RPCKNOW,PRE: Pres Rep cand trait knowledgeable
CTRAIT_RPCINT,PRE: Pres Rep cand trait intelligent
CTRAIT_RPCHONST,PRE: Pres Rep cand trait honest
WAR_WORTHIT,PRE: Was war worth the cost
WAR_TERROR,PRE: War increased or decreased threat of terrorism
SPSRVPR_SSSELF,PRE: 7pt scale spending and Services self-placement
SPSRVPR_SSDPC,PRE: 7pt scale spending and Services Dem Presidential cand
SPSRVPR_SSRPC,PRE: 7pt scale spending and Services Rep Presidential cand
SPSRVPR_SSDEM,PRE: 7pt scale spending and Services Dem Party
SPSRVPR_SSREP,PRE: 7pt scale spending and Services Rep Party
DEFSPPR_SELF,PRE: 7pt scale defense spending self-placement
DEFSPPR_DPC,PRE: 7pt scale defense spending Dem Pres cand
DEFSPPR_RPC,PRE: 7pt scale defense spending Rep Pres cand
DEFSPPR_DEM,PRE: 7pt scale defense spending Dem Party
DEFSPPR_REP,PRE: 7pt scale defense spending Rep Party
INSPRE_SELF,PRE: 7pt scale govt-private medical insur scale: self-plmt
INSPRE_DPC,PRE: 7pt scale govt-private medical insur scale: Dem Pres cand
INSPRE_RPC,PRE: 7pt scale govt-private medical insur scale: Rep Pres cand
INSPRE_DEM,PRE: 7pt scale govt-private medical insur scale: Dem Party
INSPRE_REP,PRE: 7pt scale govt-private medical insur scale: Rep Party
GUN_CONTROL,PRE: Should fed govt make it more difficult to buy a gun
GUN_IMPORTANCE,PRE: Importance of gun access issue to R
GUARPR_SELF,PRE: 7pt scale guaranteed job-income scale: self-placement
GUARPR_DPC,PRE: 7pt scale guaranteed job-income scale: Dem Pres cand
GUARPR_RPC,PRE: 7pt scale guaranteed job-income scale: Rep Pres cand
GUARPR_DEM,PRE: 7pt scale guaranteed job-income scale: Dem Party
GUARPR_REP,PRE: 7pt scale guaranteed job-income scale: Rep Party
IMMIG_POLICY,PRE: U.S. government policy toward unauthorized immigrants
IMMIG_CITIZEN,PRE: Opinion on proposal to allow citzship to some illeg aliens
IMMIG_CHECKS,PRE: Opinion on laws to allow immigr status checks on suspects
AIDBLACK_SELF,PRE: 7pt scale govt assistance to blacks scale: self-placemt
AIDBLACK_DPC,PRE: 7pt scale govt assistance to blacks scale: Dem Pres cand
AIDBLACK_RPC,PRE: 7pt scale govt assistance to blacks scale: Rep Pres cand
ENVJOB_SELF,PRE: 7pt scale environment-jobs tradeoff self-placement
ENVJOB_DPC,PRE: 7pt scale environment-jobs tradeoff Dem Pres cand
ENVJOB_RPC,PRE: 7pt scale environment-jobs tradeoff Rep Pres cand
AA_UNI,PRE: Does R favor or oppose affirmative action in universities
AA_UNIFAV,PRE: How much does R favor affirmative action in universities
AA_UNIOPP,PRE: How much does R oppose affirmative action in universities
AA_UNI_X,PRE: SUMMARY- Favor/oppose affirmative action in universities
AA_WORK,PRE: Does R favor or oppose affirmative action at work
AA_WORKFAV,PRE: How much does R favor affirmative action at work
AA_WORKOPP,PRE: How much does R oppose affirmative action at work
AA_WORK_X,PRE: SUMMARY- Favor/oppose affirmative action at work
FEDSPEND_SS,PRE: Federal Budget Spending: Social Security
FEDSPEND_SCHOOLS,PRE: Federal Budget Spending: public schools
FEDSPEND_SCITECH,PRE: Federal Budget Spending: science and technology
FEDSPEND_CRIME,PRE: Federal Budget Spending: dealing with crime
FEDSPEND_WELFARE,PRE: Federal Budget Spending: welfare programs
FEDSPEND_CHILD,PRE: Federal Budget Spending: child care
FEDSPEND_POOR,PRE: Federal Budget Spending: aid to the poor
FEDSPEND_ENVIRO,PRE: Federal Budget Spending: protecting the environment
CANDREL_DPC,PRE: What is the religion of the Democratic Presidential cand
CANDREL_DPC_OTHTXT,PRE: Other specify- What is the religion of the Dem Presidential cand
CANDREL_RPC,PRE: What is the religion of the Republican Presidential cand
CANDREL_RPC_OTHTXT,PRE: Other specify- What is the religion of the DemoPresidential cand
TRUSTGOV_TRUSTGREV,PRE: [REV] How often trust govt in Wash to do what is right
TRUSTGOV_TRUSTGSTD,PRE: [STD] How often trust govt in Wash to do what is right
TRUSTGOV_BIGINTRST,PRE: Govt run by a few big interests or for benefit of all
TRUSTGOV_WASTE,PRE: Does government waste much tax money
TRUSTGOV_CORRPT,PRE: How many in government are corrupt
TRUST_SOCIAL,PRE: How often can people be trusted
RESPONS_ELECTIONS,PRE: Elections make govt pay attention
ECONCAND_DWIN,PRE: Economy better or worse if Dem Pres cand wins
ECONCAND_RWIN,PRE: Economy better or worse if Rep Pres cand wins
ENVIR_DRILL,PRE: Favor or oppose increased U.S. offshore drilling
ENVIR_NUKE,PRE: Should US have more or fewer nuclear power plants
ENVIR_GWARM,PRE: Is global warming happening or not
ENVIR_GWGOOD,PRE: Rising temperatures good or bad
ENVIR_GWHOW,PRE: Anthropogenic climate change
GAYRT_DISCREV,PRE: [REV] Should laws protect gays/lesbians against job discrim
GAYRT_DISCSTREV,PRE: [REV] How mch fav/opp laws protect gays/lesbians job discr
GAYRT_DISCREV_X,PRE: SUMMARY REV version- favor laws against gays/lesbians job discrim
GAYRT_DISCSTD,PRE: [STD] Should laws protect homosexuals against job discrim
GAYRT_DISCSTSTD,PRE: [STD] How mch fav/opp laws protect homosexuals job discrim
GAYRT_DISCSTD_X,PRE: SUMMARY STD version- favor laws against gays/lesbians job discrim
GAYRT_MILREV,PRE: [REV] Should gays and lesbians serve in U.S. armed forces
GAYRT_MILSTREV,PRE: [REV] Strength favor/opp allow gays serve in armed forces
GAYRT_MILREV_X,PRE: SUMMARY REV version- allow gays/lesbians serve in US armed forces
GAYRT_MILSTD,PRE: [STD] Should homosexuals serve in U.S. armed forces
GAYRT_MILSTSTD,PRE: [STD] Strength fav/opp allow homosexuals serve armed forces
GAYRT_MILSTD_X,PRE: SUMMARY STD version- allow gays/lesbians serve in US armed forces
GAYRT_ADOPT,PRE: Should gay and lesbian couples be allowed to adopt
GAYRT_MARRY,PRE: R position on gay marriage
ABORTPRE_4POINT,PRE: STD Abortion: self-placement
ABORTPRE_4POINT_OTHTXT,PRE: Other specify- STD Abortion: self-placement
PENALTY_FAVDPEN,PRE: R favor/oppose death penalty
PENALTY_DPENSTR,PRE: Strength R favors/opposes death penalty
PENALTY_FAVOPP_X,PRE: SUMMARY- Favor death penalty
PRESADM_SECURE,PRE: U.S. more or less secure than when Pres took office
PCTLIKELY_WHATPCT2,PRE: [1/2 SAMPLE 2B] What is percent chance R will vote in Nov
PCTLIKELY_HOWLIKVT2,PRE: [1/2 SAMPLE 2A] How likely is it that R will vote in Nov
RELIG_IMPORT,PRE: Is religion important part of R life
RELIG_GUIDE,PRE: Religion provides guidance in day-to-day living
RELIG_PRAY,PRE: How often does R pray
RELIG_PRAY_OTHTXT,PRE: Other specify- How often does R pray
RELIG_WORDGOD,PRE: Is Bible word of God or men
RELIG_WORDGOD_OTHTXT,PRE: Other specify- Is Bible word of God or men
RELIG_CHURCH,PRE: Ever attend church or religious services
RELIG_CHURCHOFT,PRE: Attend religious services how often
RELIG_CHURCHWK,PRE: Attend church more often than once a week
RELIG_CHMEMBER,PRE: Ever think of self as part of church or denomination
RELIG_GROUP,PRE: RESTRICTED: (Attends church) R major religious group
RELIG_GROUPNA,PRE: RESTRICTED: (Nonattendance) R major religious group
RELIG_4CAT,"PRE: SUMMARY- full RELIG section: R Catholic, oth Christian, other, not relig"
RELIG_DENOM,PRE: RESTRICTED: Major relig denomination
RELIG_BAPT,PRE: RESTRICTED: Specific Baptist denomination
RELIG_INDBAPT,PRE: RESTRICTED: Specific indep. Baptist denomination
RELIG_LUTH,PRE: RESTRICTED: Specific Lutheran denomination
RELIG_METH,PRE: RESTRICTED: Specific Methodist denomination
RELIG_PRESB,PRE: RESTRICTED: Specific Presbyterian denomination
RELIG_REFRM,PRE: RESTRICTED: Specific Reformed denomination
RELIG_BRETHR,PRE: RESTRICTED: Specific Brethren denomination
RELIG_DISCP,PRE: RESTRICTED: Specific Disciples denomination
RELIG_CHCHRST,PRE: RESTRICTED: Specific Church of Christ denomination
RELIG_CHGOD,PRE: RESTRICTED: Specific Church of God denomination
RELIG_PENT,PRE: RESTRICTED: Specific Pentacostal/Holiness denomination
RELIG_DENOTHER,PRE: RESTRICTED: Description other denomination
RELIG_OTHXIAN,PRE: RESTRICTED: Specific other denomination Christian
RELIG_JEWISHA,PRE: RESTRICTED: (Attends) Specific Jewish denomination
RELIG_JEWISHNA,PRE: RESTRICTED: (Nonattendance) Specific Jewish denomination
RELIG_BORNAGN,PRE: Does Christian R consider self born again
RELIG_IDENT_1ST,PRE: FTF ONLY: Ordered self-descript R religious identity- 1st mention
RELIG_IDENT_2ND,PRE: FTF ONLY: Ordered self-descript R religious identity- 2nd mention
RELIG_IDENT_3RD,PRE: FTF ONLY: Ordered self-descript R religious identity- 3rd mention
RELIG_RELIGIDENT_PROG,PRE: R self-description religious identity: mention Progressive
RELIG_RELIGIDENT_NONTRAD,PRE: R self-description religious identity: mention nontraditional
RELIG_RELIGIDENT_SECULAR,PRE: R self-description religious identity: mention secular
RELIG_RELIGIDENT_AGNOSTIC,PRE: R self-description religious identity: mention agnostic
RELIG_RELIGIDENT_ATHEIST,PRE: R self-description religious identity: mention atheist
RELIG_RELIGIDENT_SPIRITUAL,"PRE: R self-descript relig identity: mention spiritual, not religious"
RELIG_RELIGIDENT_NONE,PRE: R self-description religious identity: mention none
RELIG_RELIGIDENT_DKRF,PRE: R self-description religious identity: mention DKRF
DEM_BIRTHMO,PRE: RESTRICTED: Birthdate: month of birth
DEM_BIRTHDY,PRE: RESTRICTED: Birthdate: day of birth
DEM_BIRTHYR,PRE: RESTRICTED: Birthdate: year of birth
DEM_AGE_R_X,PRE: RESTRICTED: SUMMARY- Age of R on interview date
DEM_AGEGRP_IWDATE,PRE: SUMMARY- R age on interview date (age group)
DEM_MARITAL,PRE: Marital status
DEM_PARTNER,PRE: Domestic partnership status
DEM_EDU,PRE: RESTRICTED: Highest level of Education
DEM_EDU_OTH,PRE: RESTRICTED: Other specify- R highest level of education
DEM_DIPGED,PRE: R: Diploma or GED
DEM_EDUGROUP,PRE: SUMMARY- R level of highest education
DEM_EDUSP,PRE: RESTRICTED: Spouse/partner: Highest Level of Education
DEM_EDUSP_OTH,PRE: RESTRICTED: Other specify- Spouse highest level of education
DEM_DIPGEDSP,PRE: Spouse: Diploma or GED
DEM_EDUSPGROUP,PRE: SUMMARY- Spouse level of highest education
DEM_VETERAN,PRE: R ever served on active duty in Armed Forces
DEM_MILWHEN_1ST,PRE: When was R active military service- 1st mention
DEM_MILWHEN_2ND,PRE: When was R active military service- 2nd mention
